模型,编号,评价项,正确匹配,应有,输出,召回率,精确率
Qwen,03,正文—文献引用关系,53,79,67,0.6708860759493671,0.7910447761194029
Qwen,03,正文—图表引用关系,11,11,11,1.0,1.0
Qwen,03,全文文字保留,7921,7950,8019,0.9963522012578616,0.9877790248160618
Qwen,04,题名,1,1,1,1.0,1.0
Qwen,04,作者姓名,7,7,7,1.0,1.0
Qwen,04,作者顺序,7,7,7,1.0,1.0
Qwen,04,作者单位,6,6,6,1.0,1.0
Qwen,04,作者—单位关系,10,10,10,1.0,1.0
Qwen,04,通讯作者—邮箱关系,1,1,1,1.0,1.0
Qwen,04,作者—ORCID 关系,6,6,6,1.0,1.0
Qwen,04,稿件日期,3,3,3,1.0,1.0
Qwen,04,摘要内容,1,1,1,1.0,1.0
Qwen,04,摘要分段与分节,1,1,1,1.0,1.0
Qwen,04,关键词,8,8,8,1.0,1.0
Qwen,04,章节层级与标题,9,9,9,1.0,1.0
Qwen,04,章节顺序,9,9,9,1.0,1.0
Qwen,04,术语—释义条目,62,62,62,1.0,1.0
Qwen,04,文末声明与附属章节,7,7,7,1.0,1.0
Qwen,04,图对象,2,2,2,1.0,1.0
Qwen,04,图注内容,2,2,2,1.0,1.0
Qwen,04,表对象,3,3,3,1.0,1.0
Qwen,04,表题内容,3,3,3,1.0,1.0
Qwen,04,表注内容,3,3,3,1.0,1.0
Qwen,04,表格网格位置与内容,124,124,124,1.0,1.0
Qwen,04,图片资源及图表归属,2,2,2,1.0,1.0
Qwen,04,原生公式数学树,0,0,0,,
Qwen,04,公式图片资源,0,0,0,,
Qwen,04,参考文献条目覆盖,145,145,145,1.0,1.0
Qwen,04,文献著录字段,864,870,864,0.993103448275862,1.0
Qwen,04,正文—文献引用关系,293,298,298,0.9832214765100671,0.9832214765100671
Qwen,04,正文—图表引用关系,5,5,5,1.0,1.0
Qwen,04,全文文字保留,12288,12314,12390,0.9978885821016729,0.9917675544794189
Qwen,05,题名,1,1,1,1.0,1.0
Qwen,05,作者姓名,4,4,4,1.0,1.0
Qwen,05,作者顺序,4,4,4,1.0,1.0
Qwen,05,作者单位,2,2,2,1.0,1.0
Qwen,05,作者—单位关系,4,4,4,1.0,1.0
Qwen,05,通讯作者—邮箱关系,1,1,1,1.0,1.0
Qwen,05,作者—ORCID 关系,0,0,0,,
Qwen,05,稿件日期,3,3,3,1.0,1.0
Qwen,05,摘要内容,1,1,1,1.0,1.0
Qwen,05,摘要分段与分节,1,1,1,1.0,1.0
Qwen,05,关键词,4,4,4,1.0,1.0
Qwen,05,章节层级与标题,5,5,5,1.0,1.0
Qwen,05,章节顺序,5,5,5,1.0,1.0
Qwen,05,术语—释义条目,0,0,0,,
Qwen,05,文末声明与附属章节,6,6,6,1.0,1.0
Qwen,05,图对象,4,4,4,1.0,1.0
Qwen,05,图注内容,4,4,4,1.0,1.0
Qwen,05,表对象,14,14,14,1.0,1.0
Qwen,05,表题内容,14,14,14,1.0,1.0
Qwen,05,表注内容,14,14,14,1.0,1.0
Qwen,05,表格网格位置与内容,138,800,253,0.1725,0.5454545454545454
Qwen,05,图片资源及图表归属,4,4,4,1.0,1.0
Qwen,05,原生公式数学树,0,0,0,,
Qwen,05,公式图片资源,0,0,0,,
Qwen,05,参考文献条目覆盖,27,27,27,1.0,1.0
Qwen,05,文献著录字段,179,187,181,0.9572192513368984,0.988950276243094
Qwen,05,正文—文献引用关系,45,46,46,0.9782608695652174,0.9782608695652174
Qwen,05,正文—图表引用关系,14,14,14,1.0,1.0
Qwen,05,全文文字保留,7795,7836,7879,0.9947677386421644,0.9893387485721539
Qwen,S01,题名,1,1,1,1.0,1.0
Qwen,S01,作者姓名,5,5,5,1.0,1.0
Qwen,S01,作者顺序,5,5,5,1.0,1.0
Qwen,S01,作者单位,1,1,1,1.0,1.0
Qwen,S01,作者—单位关系,5,5,5,1.0,1.0
Qwen,S01,通讯作者—邮箱关系,1,1,1,1.0,1.0
Qwen,S01,作者—ORCID 关系,1,1,1,1.0,1.0
Qwen,S01,稿件日期,3,3,3,1.0,1.0
Qwen,S01,摘要内容,1,1,1,1.0,1.0
Qwen,S01,摘要分段与分节,1,1,1,1.0,1.0
Qwen,S01,关键词,5,5,5,1.0,1.0
Qwen,S01,章节层级与标题,20,20,20,1.0,1.0
Qwen,S01,章节顺序,20,20,20,1.0,1.0
Qwen,S01,术语—释义条目,0,0,0,,
Qwen,S01,文末声明与附属章节,7,7,7,1.0,1.0
Qwen,S01,图对象,3,3,3,1.0,1.0
Qwen,S01,图注内容,3,3,3,1.0,1.0
Qwen,S01,表对象,5,5,5,1.0,1.0
Qwen,S01,表题内容,5,5,5,1.0,1.0
Qwen,S01,表注内容,2,2,2,1.0,1.0
Qwen,S01,表格网格位置与内容,128,128,128,1.0,1.0
Qwen,S01,图片资源及图表归属,3,3,3,1.0,1.0
Qwen,S01,原生公式数学树,0,0,0,,
Qwen,S01,公式图片资源,0,0,0,,
Qwen,S01,参考文献条目覆盖,30,30,30,1.0,1.0
Qwen,S01,文献著录字段,178,178,178,1.0,1.0
Qwen,S01,正文—文献引用关系,33,35,35,0.9428571428571428,0.9428571428571428
Qwen,S01,正文—图表引用关系,8,8,8,1.0,1.0
Qwen,S01,全文文字保留,6749,6763,6834,0.9979299127606092,0.9875621890547264
Qwen,S02,题名,1,1,1,1.0,1.0
Qwen,S02,作者姓名,10,10,10,1.0,1.0
Qwen,S02,作者顺序,10,10,10,1.0,1.0
Qwen,S02,作者单位,8,8,8,1.0,1.0
Qwen,S02,作者—单位关系,14,14,14,1.0,1.0
Qwen,S02,通讯作者—邮箱关系,2,2,2,1.0,1.0
Qwen,S02,作者—ORCID 关系,10,10,10,1.0,1.0
Qwen,S02,稿件日期,3,3,3,1.0,1.0
Qwen,S02,摘要内容,1,1,1,1.0,1.0
Qwen,S02,摘要分段与分节,1,1,1,1.0,1.0
Qwen,S02,关键词,5,5,5,1.0,1.0
Qwen,S02,章节层级与标题,25,25,25,1.0,1.0
Qwen,S02,章节顺序,25,25,25,1.0,1.0
Qwen,S02,术语—释义条目,0,0,0,,
Qwen,S02,文末声明与附属章节,7,7,7,1.0,1.0
Qwen,S02,图对象,2,2,2,1.0,1.0
Qwen,S02,图注内容,2,2,2,1.0,1.0
Qwen,S02,表对象,2,2,2,1.0,1.0
Qwen,S02,表题内容,2,2,2,1.0,1.0
Qwen,S02,表注内容,2,2,2,1.0,1.0
Qwen,S02,表格网格位置与内容,63,63,63,1.0,1.0
Qwen,S02,图片资源及图表归属,2,2,2,1.0,1.0
Qwen,S02,原生公式数学树,0,0,0,,
Qwen,S02,公式图片资源,0,0,0,,
Qwen,S02,参考文献条目覆盖,50,50,50,1.0,1.0
Qwen,S02,文献著录字段,300,300,301,1.0,0.9966777408637874
Qwen,S02,正文—文献引用关系,75,76,75,0.9868421052631579,1.0
Qwen,S02,正文—图表引用关系,4,4,4,1.0,1.0
Qwen,S02,全文文字保留,11622,11653,11740,0.9973397408392689,0.9899488926746167
Qwen,S03,题名,1,1,1,1.0,1.0
Qwen,S03,作者姓名,6,6,6,1.0,1.0
Qwen,S03,作者顺序,6,6,6,1.0,1.0
Qwen,S03,作者单位,3,3,3,1.0,1.0
Qwen,S03,作者—单位关系,18,18,18,1.0,1.0
Qwen,S03,通讯作者—邮箱关系,1,1,1,1.0,1.0
Qwen,S03,作者—ORCID 关系,4,4,4,1.0,1.0
Qwen,S03,稿件日期,3,3,3,1.0,1.0
Qwen,S03,摘要内容,2,2,2,1.0,1.0
Qwen,S03,摘要分段与分节,2,2,2,1.0,1.0
Qwen,S03,关键词,4,4,4,1.0,1.0
Qwen,S03,章节层级与标题,17,17,17,1.0,1.0
Qwen,S03,章节顺序,17,17,17,1.0,1.0
Qwen,S03,术语—释义条目,0,0,0,,
Qwen,S03,文末声明与附属章节,6,6,6,1.0,1.0
Qwen,S03,图对象,4,4,4,1.0,1.0
Qwen,S03,图注内容,4,4,4,1.0,1.0
Qwen,S03,表对象,1,1,1,1.0,1.0
Qwen,S03,表题内容,1,1,1,1.0,1.0
Qwen,S03,表注内容,1,1,1,1.0,1.0
Qwen,S03,表格网格位置与内容,192,192,192,1.0,1.0
Qwen,S03,图片资源及图表归属,4,4,4,1.0,1.0
Qwen,S03,原生公式数学树,0,0,0,,
Qwen,S03,公式图片资源,0,0,0,,
Qwen,S03,参考文献条目覆盖,22,22,22,1.0,1.0
Qwen,S03,文献著录字段,121,121,123,1.0,0.983739837398374
Qwen,S03,正文—文献引用关系,23,23,23,1.0,1.0
Qwen,S03,正文—图表引用关系,24,24,24,1.0,1.0
Qwen,S03,全文文字保留,7998,8019,8119,0.9973812196034418,0.9850966867840867
Qwen,S04,题名,1,1,1,1.0,1.0
Qwen,S04,作者姓名,6,6,6,1.0,1.0
Qwen,S04,作者顺序,6,6,6,1.0,1.0
Qwen,S04,作者单位,3,3,3,1.0,1.0
Qwen,S04,作者—单位关系,14,14,14,1.0,1.0
Qwen,S04,通讯作者—邮箱关系,0,0,0,,
Qwen,S04,作者—ORCID 关系,0,0,0,,
Qwen,S04,稿件日期,3,3,3,1.0,1.0
Qwen,S04,摘要内容,1,1,1,1.0,1.0
Qwen,S04,摘要分段与分节,1,1,1,1.0,1.0
Qwen,S04,关键词,5,5,5,1.0,1.0
Qwen,S04,章节层级与标题,14,14,14,1.0,1.0
Qwen,S04,章节顺序,14,14,14,1.0,1.0
Qwen,S04,术语—释义条目,0,0,0,,
Qwen,S04,文末声明与附属章节,8,8,8,1.0,1.0
Qwen,S04,图对象,6,6,6,1.0,1.0
Qwen,S04,图注内容,6,6,6,1.0,1.0
Qwen,S04,表对象,3,3,3,1.0,1.0
Qwen,S04,表题内容,3,3,3,1.0,1.0
Qwen,S04,表注内容,2,2,2,1.0,1.0
Qwen,S04,表格网格位置与内容,414,414,414,1.0,1.0
Qwen,S04,图片资源及图表归属,6,6,6,1.0,1.0
Qwen,S04,原生公式数学树,0,0,0,,
Qwen,S04,公式图片资源,0,0,0,,
Qwen,S04,参考文献条目覆盖,41,41,41,1.0,1.0
Qwen,S04,文献著录字段,242,242,242,1.0,1.0
Qwen,S04,正文—文献引用关系,43,43,43,1.0,1.0
Qwen,S04,正文—图表引用关系,10,10,10,1.0,1.0
Qwen,S04,全文文字保留,7812,7819,7885,0.999104744852283,0.9907419150285351
Qwen,S05,题名,1,1,1,1.0,1.0
Qwen,S05,作者姓名,9,9,9,1.0,1.0
Qwen,S05,作者顺序,9,9,9,1.0,1.0
Qwen,S05,作者单位,6,6,6,1.0,1.0
Qwen,S05,作者—单位关系,23,23,23,1.0,1.0
Qwen,S05,通讯作者—邮箱关系,4,4,4,1.0,1.0
Qwen,S05,作者—ORCID 关系,5,5,5,1.0,1.0
Qwen,S05,稿件日期,3,3,3,1.0,1.0
Qwen,S05,摘要内容,2,2,2,1.0,1.0
Qwen,S05,摘要分段与分节,2,2,2,1.0,1.0
Qwen,S05,关键词,5,5,5,1.0,1.0
Qwen,S05,章节层级与标题,15,15,15,1.0,1.0
Qwen,S05,章节顺序,15,15,15,1.0,1.0
Qwen,S05,术语—释义条目,0,0,0,,
Qwen,S05,文末声明与附属章节,1,1,1,1.0,1.0
Qwen,S05,图对象,4,4,4,1.0,1.0
Qwen,S05,图注内容,4,4,4,1.0,1.0
Qwen,S05,表对象,3,3,3,1.0,1.0
Qwen,S05,表题内容,3,3,3,1.0,1.0
Qwen,S05,表注内容,3,3,3,1.0,1.0
Qwen,S05,表格网格位置与内容,428,428,428,1.0,1.0
Qwen,S05,图片资源及图表归属,5,5,5,1.0,1.0
Qwen,S05,原生公式数学树,0,0,0,,
Qwen,S05,公式图片资源,0,0,0,,
Qwen,S05,参考文献条目覆盖,46,46,46,1.0,1.0
Qwen,S05,文献著录字段,276,276,276,1.0,1.0
Qwen,S05,正文—文献引用关系,53,60,60,0.8833333333333333,0.8833333333333333
Qwen,S05,正文—图表引用关系,9,9,9,1.0,1.0
Qwen,S05,全文文字保留,7118,7155,7210,0.9948287910552062,0.9872399445214979
Qwen,X01,题名,1,1,1,1.0,1.0
Qwen,X01,作者姓名,5,5,5,1.0,1.0
Qwen,X01,作者顺序,5,5,5,1.0,1.0
Qwen,X01,作者单位,1,1,1,1.0,1.0
Qwen,X01,作者—单位关系,5,5,5,1.0,1.0
Qwen,X01,通讯作者—邮箱关系,1,1,1,1.0,1.0
Qwen,X01,作者—ORCID 关系,0,0,0,,
Qwen,X01,稿件日期,3,3,3,1.0,1.0
Qwen,X01,摘要内容,1,1,1,1.0,1.0
Qwen,X01,摘要分段与分节,1,1,1,1.0,1.0
Qwen,X01,关键词,5,5,5,1.0,1.0
Qwen,X01,章节层级与标题,22,22,22,1.0,1.0
Qwen,X01,章节顺序,22,22,22,1.0,1.0
Qwen,X01,术语—释义条目,0,0,0,,
Qwen,X01,文末声明与附属章节,7,7,7,1.0,1.0
Qwen,X01,图对象,12,12,12,1.0,1.0
Qwen,X01,图注内容,12,12,12,1.0,1.0
Qwen,X01,表对象,3,3,3,1.0,1.0
Qwen,X01,表题内容,3,3,3,1.0,1.0
Qwen,X01,表注内容,2,2,2,1.0,1.0
Qwen,X01,表格网格位置与内容,156,156,156,1.0,1.0
Qwen,X01,图片资源及图表归属,12,12,12,1.0,1.0
Qwen,X01,原生公式数学树,1,1,1,1.0,1.0
Qwen,X01,公式图片资源,0,0,0,,
Qwen,X01,参考文献条目覆盖,30,30,30,1.0,1.0
Qwen,X01,文献著录字段,0,180,0,0.0,
Qwen,X01,正文—文献引用关系,25,33,32,0.7575757575757576,0.78125
Qwen,X01,正文—图表引用关系,7,7,18,1.0,0.3888888888888889
Qwen,X01,全文文字保留,8304,8396,8353,0.9890424011434016,0.9941338441278582
Qwen,X02,题名,1,1,1,1.0,1.0
Qwen,X02,作者姓名,5,5,5,1.0,1.0
Qwen,X02,作者顺序,5,5,5,1.0,1.0
Qwen,X02,作者单位,3,3,3,1.0,1.0
Qwen,X02,作者—单位关系,5,5,5,1.0,1.0
Qwen,X02,通讯作者—邮箱关系,1,1,1,1.0,1.0
Qwen,X02,作者—ORCID 关系,0,0,0,,
Qwen,X02,稿件日期,3,3,3,1.0,1.0
Qwen,X02,摘要内容,1,2,2,0.5,0.5
Qwen,X02,摘要分段与分节,2,2,2,1.0,1.0
Qwen,X02,关键词,7,7,7,1.0,1.0
Qwen,X02,章节层级与标题,14,14,14,1.0,1.0
Qwen,X02,章节顺序,14,14,14,1.0,1.0
Qwen,X02,术语—释义条目,0,0,0,,
Qwen,X02,文末声明与附属章节,10,10,10,1.0,1.0
Qwen,X02,图对象,5,19,6,0.2631578947368421,0.8333333333333334
Qwen,X02,图注内容,3,19,6,0.15789473684210525,0.5
Qwen,X02,表对象,3,5,3,0.6,1.0
Qwen,X02,表题内容,2,5,3,0.4,0.6666666666666666
Qwen,X02,表注内容,0,0,0,,
Qwen,X02,表格网格位置与内容,70,150,70,0.4666666666666667,1.0
Qwen,X02,图片资源及图表归属,6,20,25,0.3,0.24
Qwen,X02,原生公式数学树,0,0,0,,
Qwen,X02,公式图片资源,1,9,7,0.1111111111111111,0.14285714285714285
Qwen,X02,参考文献条目覆盖,32,32,32,1.0,1.0
Qwen,X02,文献著录字段,13,200,13,0.065,1.0
Qwen,X02,正文—文献引用关系,31,40,40,0.775,0.775
Qwen,X02,正文—图表引用关系,7,14,9,0.5,0.7777777777777778
Qwen,X02,全文文字保留,8571,9018,8635,0.9504324683965403,0.9925883034163289
Qwen,X03,题名,1,1,1,1.0,1.0
Qwen,X03,作者姓名,4,4,4,1.0,1.0
Qwen,X03,作者顺序,4,4,4,1.0,1.0
Qwen,X03,作者单位,5,5,5,1.0,1.0
Qwen,X03,作者—单位关系,8,8,8,1.0,1.0
Qwen,X03,通讯作者—邮箱关系,2,2,4,1.0,0.5
Qwen,X03,作者—ORCID 关系,2,2,2,1.0,1.0
Qwen,X03,稿件日期,3,3,3,1.0,1.0
Qwen,X03,摘要内容,1,1,1,1.0,1.0
Qwen,X03,摘要分段与分节,0,1,1,0.0,0.0
Qwen,X03,关键词,5,5,5,1.0,1.0
Qwen,X03,章节层级与标题,20,20,20,1.0,1.0
Qwen,X03,章节顺序,20,20,20,1.0,1.0
Qwen,X03,术语—释义条目,0,0,0,,
Qwen,X03,文末声明与附属章节,8,8,8,1.0,1.0
Qwen,X03,图对象,1,1,1,1.0,1.0
Qwen,X03,图注内容,1,1,1,1.0,1.0
Qwen,X03,表对象,5,5,5,1.0,1.0
Qwen,X03,表题内容,5,5,5,1.0,1.0
Qwen,X03,表注内容,3,3,3,1.0,1.0
Qwen,X03,表格网格位置与内容,236,236,236,1.0,1.0
Qwen,X03,图片资源及图表归属,1,1,1,1.0,1.0
Qwen,X03,原生公式数学树,0,0,0,,
Qwen,X03,公式图片资源,0,0,0,,
Qwen,X03,参考文献条目覆盖,35,35,35,1.0,1.0
Qwen,X03,文献著录字段,203,230,203,0.8826086956521739,1.0
Qwen,X03,正文—文献引用关系,41,43,41,0.9534883720930233,1.0
Qwen,X03,正文—图表引用关系,9,9,9,1.0,1.0
Qwen,X03,全文文字保留,8152,8166,8200,0.9982855743325986,0.9941463414634146
Qwen,X04,题名,1,1,1,1.0,1.0
Qwen,X04,作者姓名,10,10,10,1.0,1.0
Qwen,X04,作者顺序,10,10,10,1.0,1.0
Qwen,X04,作者单位,4,5,5,0.8,0.8
Qwen,X04,作者—单位关系,10,11,11,0.9090909090909091,0.9090909090909091
Qwen,X04,通讯作者—邮箱关系,4,4,4,1.0,1.0
Qwen,X04,作者—ORCID 关系,0,0,0,,
Qwen,X04,稿件日期,3,3,3,1.0,1.0
Qwen,X04,摘要内容,1,1,1,1.0,1.0
Qwen,X04,摘要分段与分节,1,1,1,1.0,1.0
Qwen,X04,关键词,4,4,4,1.0,1.0
Qwen,X04,章节层级与标题,11,11,11,1.0,1.0
Qwen,X04,章节顺序,11,11,11,1.0,1.0
Qwen,X04,术语—释义条目,0,0,0,,
Qwen,X04,文末声明与附属章节,2,2,2,1.0,1.0
Qwen,X04,图对象,9,9,9,1.0,1.0
Qwen,X04,图注内容,9,9,9,1.0,1.0
Qwen,X04,表对象,1,1,1,1.0,1.0
Qwen,X04,表题内容,1,1,1,1.0,1.0
Qwen,X04,表注内容,0,0,0,,
Qwen,X04,表格网格位置与内容,51,51,51,1.0,1.0
Qwen,X04,图片资源及图表归属,9,9,9,1.0,1.0
Qwen,X04,原生公式数学树,0,0,0,,
Qwen,X04,公式图片资源,0,0,0,,
Qwen,X04,参考文献条目覆盖,70,70,70,1.0,1.0
Qwen,X04,文献著录字段,442,505,443,0.8752475247524752,0.9977426636568849
Qwen,X04,正文—文献引用关系,78,79,79,0.9873417721518988,0.9873417721518988
Qwen,X04,正文—图表引用关系,33,33,33,1.0,1.0
Qwen,X04,全文文字保留,10651,10670,10792,0.9982193064667292,0.986934766493699
DeepSeek,01,题名,1,1,1,1.0,1.0
DeepSeek,01,作者姓名,3,3,3,1.0,1.0
DeepSeek,01,作者顺序,3,3,3,1.0,1.0
DeepSeek,01,作者单位,2,2,2,1.0,1.0
DeepSeek,01,作者—单位关系,4,4,4,1.0,1.0
DeepSeek,01,通讯作者—邮箱关系,5,5,5,1.0,1.0
DeepSeek,01,作者—ORCID 关系,3,3,3,1.0,1.0
DeepSeek,01,稿件日期,3,3,3,1.0,1.0
DeepSeek,01,摘要内容,1,1,1,1.0,1.0
DeepSeek,01,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,01,关键词,5,5,5,1.0,1.0
DeepSeek,01,章节层级与标题,15,15,15,1.0,1.0
DeepSeek,01,章节顺序,15,15,15,1.0,1.0
DeepSeek,01,术语—释义条目,0,0,0,,
DeepSeek,01,文末声明与附属章节,5,5,5,1.0,1.0
DeepSeek,01,图对象,1,1,1,1.0,1.0
DeepSeek,01,图注内容,1,1,1,1.0,1.0
DeepSeek,01,表对象,4,4,4,1.0,1.0
DeepSeek,01,表题内容,4,4,4,1.0,1.0
DeepSeek,01,表注内容,2,4,4,0.5,0.5
DeepSeek,01,表格网格位置与内容,624,624,624,1.0,1.0
DeepSeek,01,图片资源及图表归属,5,5,5,1.0,1.0
DeepSeek,01,原生公式数学树,10,10,10,1.0,1.0
DeepSeek,01,公式图片资源,2,2,2,1.0,1.0
DeepSeek,01,参考文献条目覆盖,39,39,39,1.0,1.0
DeepSeek,01,文献著录字段,218,220,220,0.990909090909091,0.990909090909091
DeepSeek,01,正文—文献引用关系,76,83,82,0.9156626506024096,0.926829268292683
DeepSeek,01,正文—图表引用关系,10,10,10,1.0,1.0
DeepSeek,01,全文文字保留,12073,12109,12156,0.9970270047072426,0.9931720960842383
DeepSeek,02,题名,1,1,1,1.0,1.0
DeepSeek,02,作者姓名,5,5,5,1.0,1.0
DeepSeek,02,作者顺序,5,5,5,1.0,1.0
DeepSeek,02,作者单位,2,2,2,1.0,1.0
DeepSeek,02,作者—单位关系,5,5,5,1.0,1.0
DeepSeek,02,通讯作者—邮箱关系,1,1,1,1.0,1.0
DeepSeek,02,作者—ORCID 关系,2,2,2,1.0,1.0
DeepSeek,02,稿件日期,0,0,0,,
DeepSeek,02,摘要内容,1,1,1,1.0,1.0
DeepSeek,02,摘要分段与分节,1,1,1,1.0,1.0
DeepSeek,02,关键词,4,4,4,1.0,1.0
DeepSeek,02,章节层级与标题,28,28,28,1.0,1.0
DeepSeek,02,章节顺序,28,28,28,1.0,1.0
DeepSeek,02,术语—释义条目,0,0,0,,
DeepSeek,02,文末声明与附属章节,2,2,2,1.0,1.0
DeepSeek,02,图对象,4,4,4,1.0,1.0
DeepSeek,02,图注内容,4,4,4,1.0,1.0
DeepSeek,02,表对象,8,8,8,1.0,1.0
DeepSeek,02,表题内容,8,8,8,1.0,1.0
DeepSeek,02,表注内容,0,0,0,,
DeepSeek,02,表格网格位置与内容,0,0,0,,
DeepSeek,02,图片资源及图表归属,12,12,12,1.0,1.0
DeepSeek,02,原生公式数学树,0,0,0,,
DeepSeek,02,公式图片资源,0,0,0,,
DeepSeek,02,参考文献条目覆盖,69,69,69,1.0,1.0
DeepSeek,02,文献著录字段,401,465,405,0.8623655913978494,0.9901234567901235
DeepSeek,02,正文—文献引用关系,64,74,73,0.8648648648648649,0.8767123287671232
DeepSeek,02,正文—图表引用关系,13,13,13,1.0,1.0
DeepSeek,02,全文文字保留,11420,11429,11477,0.9992125295301426,0.9950335453515727
DeepSeek,03,题名,1,1,1,1.0,1.0
DeepSeek,03,作者姓名,9,9,9,1.0,1.0
DeepSeek,03,作者顺序,9,9,9,1.0,1.0
DeepSeek,03,作者单位,3,3,3,1.0,1.0
DeepSeek,03,作者—单位关系,9,9,9,1.0,1.0
DeepSeek,03,通讯作者—邮箱关系,1,1,1,1.0,1.0
DeepSeek,03,作者—ORCID 关系,7,7,7,1.0,1.0
DeepSeek,03,稿件日期,2,2,2,1.0,1.0
DeepSeek,03,摘要内容,1,1,1,1.0,1.0
